Domain,Domain,Page,Count
aa,aa,Main_Page,13
aa,aa,Special:UserLogin,2
aa,aa,Wikipedia:Sandbox,2
aa,aa,Special:ActiveUsers,1
aa,aa,Special:ListUsers,1
aa,aa,Wikipedia:Community_Portal,1
aa.b,aa.b,Main_Page,2
aa.b,aa.b,Special:CreateAccount,1
aa.b,aa.b,Special:UserLogin,1
aa.m,aa.m,Special:UserLogin,7
aa.m,aa.m,Main_Page,4
aa.m,aa.m,Special:Contributions/Dumbassman,1
aa.m,aa.m,Special:Contributions/P~aawiki,1
aa.m,aa.m,Special:Contributions/Rodriajdre,1
aa.m,aa.m,Special:Contributions/Scarbeuh,1
aa.m,aa.m,Special:Contributions/SchellZ,1
aa.m,aa.m,Special:Contributions/Sicherlich,1
aa.m,aa.m,Special:Contributions/SunkiMuzika,1
aa.m,aa.m,Special:ListFiles,1
aa.m,aa.m,Special:MobileDiff/2461,1
aa.m,aa.m,Special:MobileOptions,1
aa.m,aa.m,User:2z,1
aa.m,aa.m,User:Segal_V.,1
aa.m,aa.m,User_talk:Raffaele96,1
ab,ab,Ихадоу_адаҟьа,20
ab,ab,Бырзентәыла,3
ab,ab,Апортугал_бызшәа,2
ab,ab,1060,1
ab,ab,1091,1
ab,ab,14,1
ab,ab,1418,1
ab,ab,15,1
ab,ab,1526,1
ab,ab,16,1
ab,ab,17,1
ab,ab,1792,1
ab,ab,18,1
ab,ab,1816,1
ab,ab,1819,1
ab,ab,1857,1
ab,ab,19,1
ab,ab,1989,1
ab,ab,60_(ахыҧхьаӡара),1
ab,ab,8_(ахыԥхьаӡара),1
ab,ab,Авикипедиа,1
ab,ab,Авикипедиа:Афорум,1
ab,ab,Авикипедиа:Афорум/Архив,1
ab,ab,Авикипедиа:Описание,1
ab,ab,Ажьырныҳәамза_27,1
ab.m,ab.m,Акатегориа:Атәылақәа,2
ab.m,ab.m,Афаил:VK.com-logo.svg,2
ab.m,ab.m,1852,1
ab.m,ab.m,1853,1
ab.m,ab.m,Авикипедиа:Афорум,1
ab.m,ab.m,Авикипедиа:Афорум/Архив,1
ab.m,ab.m,Акатегориа:3_шықәса,1
ab.m,ab.m,Акатегориа:Авикипедиа:Ихадоу_адаҟьа,1
ab.m,ab.m,Акатегориа:Нанҳәамза_30,1
ab.m,ab.m,Алахәыла:თეკა,1
ab.m,ab.m,Ихадоу_адаҟьа,1
ab.m,ab.m,Рашәара_20,1
ace,ace,Ôn_Keue,49
ace,ace,Ayeuen,17
ace,ace,Ôn_Keuë,7
ace,ace,Kawan:Teunuléh_nyang_peureulèe_geutuléh_keulayi,5
ace,ace,Sira,5
ace,ace,Beunantu:Asoë,3
ace,ace,Ayeuën,2
ace,ace,Bali,2
ace,ace,Oblast_Murmansk,2
ace,ace,Prefektur_Tottori,2
ace,ace,Seunaleuëk:Sarajevo_city_infobox,2
ace,ace,Wikipedia:Seunaleuëk/Cok_kheun_ureueng,2
ace,ace,Éseulam,2
ace,ace,"Abeuk_Jalôh,_Jangka,_Bireuen",1
ace,ace,Acèh,1
ace,ace,"Alue_Bayeu_Utang,_Jangka,_Bireuen",1
ace,ace,"Alue_Bie_Pusông,_Jangka,_Bireuen",1
ace,ace,"Alue_Buya_Pasie,_Jangka,_Bireuen",1
ace,ace,Andy_Griffith,1
ace,ace,Asia_Teungöh,1
ace,ace,"Bada_Barat,_Jangka,_Bireuen",1
ace,ace,Bahsa_Inggréh,1
ace,ace,"Barat_Lanyan,_Jangka,_Bireuen",1
ace,ace,Basa_Indônèsia,1
ace,ace,Beureukaih:Map_of_Japan_with_highlight_on_31_Tottori_prefecture.svg,1
ace.m,ace.m,Muang_Thai,3
ace.m,ace.m,Ôn_Keue,3
ace.m,ace.m,-,2
ace.m,ace.m,Ayeuen,2
ace.m,ace.m,Rusia,2
ace.m,ace.m,Wikipèdia,2
ace.m,ace.m,Ôn_Keuë,2
ace.m,ace.m,Afrika_Barôh,1
ace.m,ace.m,Bahsa_Acèh,1
ace.m,ace.m,Bandar_Lampung,1
ace.m,ace.m,Cicém,1
ace.m,ace.m,"Dayah_Darussalam,_Labuhan_Haji",1
ace.m,ace.m,Gunong_Rangkong,1
ace.m,ace.m,Internèt,1
ace.m,ace.m,"Jangka,_Bireuen",1
ace.m,ace.m,Kawan:Teunuléh_nyang_peureulèe_geutuléh_keulayi,1
ace.m,ace.m,Kawan:User_scn,1
ace.m,ace.m,Komputer,1
ace.m,ace.m,Kusuih:Neuubah_baro,1
ace.m,ace.m,Nikaragua,1
ace.m,ace.m,Pakistan,1
ace.m,ace.m,"Paya_Cut,_Juli,_Bireuen",1
ace.m,ace.m,Pidië,1
ace.m,ace.m,Portugéh,1
ace.m,ace.m,Rafly,1
advisory.m,advisory.m,Main_Page,32
ady,ady,НэкӀубгъо_шъхьаӀ,8
ady,ady,User:45.154.255.44,6
ady,ady,User:188.163.109.153,5
ady,ady,Special:MyTalk,3
ady,ady,Урымые,2
ady,ady,Википедие:Форум,2
ady,ady,Индонезие,2
ady,ady,Киото,1
ady,ady,Сомали,1
ady,ady,Париж,1
ady,ady,Непэ,1
ady,ady,Москва,1
ady,ady,Лондон,1
ady,ady,Джурт,1
ady,ady,Template:·,1
ady,ady,Википедия:Избранные_статьи,1
ady,ady,Венэ,1
ady,ady,Буркина-Фасо,1
ady,ady,Боливие,1
ady,ady,Анкара,1
ady,ady,User:TonyBallioni,1
ady,ady,Чыристан_дин,1
ady.m,ady.m,Template:·,1
ady.m,ady.m,Википедие:Форум,1
ady.m,ady.m,Кыргызстан,1
ady.m,ady.m,НэкӀубгъо_шъхьаӀ,1
af,af,Tuisblad,58
af,af,Google,16
af,af,Leksikografie,9
af,af,China,7
af,af,Kunstenaar,5
af,af,Vereeniging,5
af,af,Wallabies,5
af,af,HAT,4
af,af,Resistor,4
af,af,Skubdier,4
af,af,Wikipedia:Hulp,4
af,af,Woordeboek_van_die_Afrikaanse_Taal,4
af,af,Australiese_Rugbyunie,3
af,af,Caledon,3
af,af,ISO_4217,3
af,af,ISO_8601,3
af,af,Internetprotokol,3
af,af,Lesotho,3
af,af,Webwerf,3
af,af,-,2
af,af,Android,2
af,af,Angola,2
af,af,Anton_Rupert,2
af,af,Antoniem,2
af,af,Azerbeidjan,2
af.b,af.b,Tuisblad,2
af.d,af.d,Tuisblad,3
af.d,af.d,Bespreking:Tuisblad,1
af.d,af.d,draak,1
af.d,af.d,vertaling,1
af.d,af.d,ouer,1
af.d,af.d,neef,1
af.d,af.d,lykbusse,1
af.d,af.d,kobalt,1
af.d,af.d,honde,1
af.d,af.d,behoort,1
af.d,af.d,China,1
af.d,af.d,Wiktionary:Afrikaanse_woorde/pa,1
af.d,af.d,Sondag,1
af.d,af.d,Sjina,1
af.d,af.d,Kategorie:Versteekte_kategorieë,1
af.d,af.d,Kategorie:Bladsye_met_dubbele_sjabloonparameters,1
af.d,af.d,Engels,1
af.d,af.d,water,1
af.m,af.m,Tuisblad,83
af.m,af.m,Spesiaal:Soek,17
af.m,af.m,-,14
af.m,af.m,Jack_(Kaapse_bobbejaan),12
af.m,af.m,Geld,10
af.m,af.m,Unie_van_Suid-Afrika,10
af.m,af.m,Roger_Federer,9
af.m,af.m,Afrikaans,7
af.m,af.m,Beer_Adriaanse,7
af.m,af.m,Suid-Afrika,7
af.m,af.m,Eskom,6
af.m,af.m,Koronavirusepidemie_van_2020,6
af.m,af.m,Vrat,6
af.m,af.m,Wikipedia:Omtrent,6
af.m,af.m,Anale_seks,5
af.m,af.m,Kaapstad,5
af.m,af.m,Kanker,5
af.m,af.m,"Springbok,_Noord-Kaap",5
af.m,af.m,Stormers_(Superrugbyspan),5
af.m,af.m,Angssteuring,4
af.m,af.m,Arend,4
af.m,af.m,Besoedeling,4
af.m,af.m,Boeddhisme,4
af.m,af.m,Ekonomie_van_Suid-Afrika,4
af.m,af.m,Getal,4
af.m.b,af.m.b,Hoërskool_Natuur-_en_Skeikunde/Deel_3-1:_Meganika,1
af.m.d,af.m.d,Kategorie:Woorde_in_Afrikaans,15
af.m.d,af.m.d,Kategorie:Idiome_in_Afrikaans,6
af.m.d,af.m.d,Spesiaal:Soek,5
af.m.d,af.m.d,Kategorie:Afkortings_in_Afrikaans,4
af.m.d,af.m.d,sinoniem,4
af.m.d,af.m.d,vertaal,4
af.m.d,af.m.d,Kategorie:Byvoeglike_naamwoorde_in_Afrikaans,3
af.m.d,af.m.d,Tuisblad,3
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/be,3
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/ge,3
af.m.d,af.m.d,vyeboom,3
af.m.d,af.m.d,-,2
af.m.d,af.m.d,Kersfees,2
af.m.d,af.m.d,Noord-Kaap,2
af.m.d,af.m.d,SAL,2
af.m.d,af.m.d,Wiktionary:Afrikaanse_woorde/ve,2
af.m.d,af.m.d,Wiktionary:Tweetalige_woordelyste/Afrikaans_-_Engels,2
af.m.d,af.m.d,befok,2
af.m.d,af.m.d,meervoud,2
af.m.d,af.m.d,woordeboek,2
af.m.d,af.m.d,Afrikaans,1
af.m.d,af.m.d,Fr.,1
af.m.d,af.m.d,Hollandia,1
af.m.d,af.m.d,Lêer:Open_book_01.png,1
af.m.d,af.m.d,Ndl.,1
af.q,af.q,Bespreking:Tuisblad,1
af.q,af.q,Gebruiker:SterkeBak,1
af.q,af.q,Kategorie:Bladsye_met_gebreekte_lêer_skakels,1
af.q,af.q,Tuisblad,1
ak,ak,Krataafa_Titiriw,11
ak,ak,Boa:Contents,3
ak,ak,Nkyekyem:User_kn,1
ak,ak,Vienna,1
ak,ak,Sukuuni/Adesuafo,1
ak,ak,Paris,1
ak,ak,Odwumanyɛni:Tulsibot,1
ak,ak,Odwumanyɛni:TonyBallioni,1
ak,ak,Nkyekyem:User_pa,1
ak,ak,Nkyekyem:Historian,1
ak,ak,Busua,1
ak,ak,Moscow,1
ak,ak,Mfonii,1
ak,ak,London,1
ak,ak,Indonesia,1
ak,ak,English,1
ak,ak,Bà_Rịa,1
ak,ak,Wikipedia:Sandbox,1
ak.m,ak.m,Intanɛt,1
ak.m,ak.m,Iraq,1
als,als,Wikipedia:Houptsyte,67
als,als,Vorlage:Artikel_Jahr,31
als,als,2020,16
als,als,Spezial:Letschti_Änderige,13
als,als,2010,10
als,als,Datei:Flag_of_South_Africa.svg,10
als,als,Wikipedia:Impressum,8
als,als,10er,6
als,als,Grammatik,5
als,als,New_York_City,5
als,als,Philippinen,5
als,als,Phonologie_der_englischen_Sprache,5
als,als,Russische_Sprache,5
als,als,Sambia,5
als,als,Thomas_Kemmerich,5
als,als,Wikinger,5
als,als,Alveolarer_Approximant,4
als,als,Kanada,4
als,als,Retroflexer_Approximant,4
als,als,Widerstand_(Bauelement),4
als,als,Wikipedia:Fehlende_Artikel,4
als,als,Wikipedia:Hilfe,4
als,als,Wikipedia:Namenskonventionen,4
als,als,10._August,3
als,als,58_v._Chr.,3
als.m,als.m,Wikipedia:Houptsyte,7
als.m,als.m,Pocken,3
als.m,als.m,Simbabwe,3
als.m,als.m,Biologisches_Geschlecht,2
als.m,als.m,Englische_Sprache,2
als.m,als.m,Menschenrechte,2
als.m,als.m,Wikipedia:Iber_Wikipedia,2
als.m,als.m,Abu_Dhabi,1
als.m,als.m,Afrika,1
als.m,als.m,Alveolarer_Approximant,1
als.m,als.m,Ammerschweier,1
als.m,als.m,Anne_Boleyn,1
als.m,als.m,Artes_liberales,1
als.m,als.m,Atze_Schröder,1
als.m,als.m,Auto,1
als.m,als.m,Benutzer:Hahaha~alswiki,1
als.m,als.m,Benutzer:MC_Hitchhiker,1
als.m,als.m,Benutzer:Miguel2706/common.js,1
als.m,als.m,Benutzer:Sodmy,1
als.m,als.m,Bezirk_Affoltern,1
als.m,als.m,Binnenstaat,1
als.m,als.m,Brione_(Verzasca),1
als.m,als.m,Buech:Grammatik_Mülhauser_Dialekt/Konjugation,1
als.m,als.m,Chemie,1
als.m,als.m,Chromosom,1
am,am,ዋናው_ገጽ,54
am,am,ጉግል,16
am,am,ልዩ:RecentChanges,3
am,am,እርዳታ:ይዞታ,3
am,am,30_October,2
